                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                 2.0184,                 1.9623,                 2.7142,                0.47497,                   0.55,                0.49372,                0.19679,                    nan,                    nan,                    nan,              0.0016891,              0.0016891,              0.0016891
                    159,                 1.8215,                 1.7901,                 2.5558,                0.47497,                   0.55,                0.49372,                0.19679,                    nan,                    nan,                    nan,              0.0016872,              0.0016872,              0.0016872
                    160,                 1.8258,                 1.7405,                 2.5456,                0.07653,                    0.2,                0.06507,                0.02271,                    nan,                    nan,                    nan,              0.0016852,              0.0016852,              0.0016852
                    161,                 1.8794,                 1.8025,                 2.5309,                0.07653,                    0.2,                0.06507,                0.02271,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                    162,                 1.9447,                 1.9658,                 2.6423,                0.09631,                    0.1,                0.04852,                0.01523,                    nan,                    nan,                    nan,              0.0016812,              0.0016812,              0.0016812
                    163,                 1.9627,                  1.799,                 2.6486,                0.09631,                    0.1,                0.04852,                0.01523,                    nan,                    nan,                    nan,              0.0016792,              0.0016792,              0.0016792
                    164,                 1.8082,                 1.8016,                 2.5784,                0.27023,                   0.35,                0.19624,                0.06603,                    nan,                    nan,                    nan,              0.0016773,              0.0016773,              0.0016773
                    165,                 1.7586,                 1.9022,                 2.4753,                0.27023,                   0.35,                0.19624,                0.06603,                    nan,                    nan,                    nan,              0.0016753,              0.0016753,              0.0016753
                    166,                 1.8643,                 1.8676,                 2.4375,                0.32776,                  0.475,                0.32284,                0.14609,                    nan,                    nan,                    nan,              0.0016733,              0.0016733,              0.0016733
                    167,                  1.813,                 1.8001,                 2.5435,                0.32776,                  0.475,                0.32284,                0.14609,                    nan,                    nan,                    nan,              0.0016713,              0.0016713,              0.0016713
                    168,                 1.8917,                 1.6513,                 2.4898,                0.42114,                   0.65,                0.45274,                0.20066,                    nan,                    nan,                    nan,              0.0016693,              0.0016693,              0.0016693
                    169,                 1.9567,                  1.801,                 2.6245,                0.42114,                   0.65,                0.45274,                0.20066,                    nan,                    nan,                    nan,              0.0016674,              0.0016674,              0.0016674
                    170,                 1.9506,                 1.7168,                 2.6698,                0.49152,                  0.575,                0.43376,                0.15778,                    nan,                    nan,                    nan,              0.0016654,              0.0016654,              0.0016654
                    171,                 2.0275,                 1.8708,                 2.6143,                0.49152,                  0.575,                0.43376,                0.15778,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                    172,                 1.7673,                 1.8135,                 2.4228,                0.52924,                  0.425,                0.47803,                 0.2063,                    nan,                    nan,                    nan,              0.0016614,              0.0016614,              0.0016614
                    173,                 1.7572,                 1.7215,                  2.472,                0.52924,                  0.425,                0.47803,                 0.2063,                    nan,                    nan,                    nan,              0.0016594,              0.0016594,              0.0016594
                    174,                 1.7055,                 1.5642,                 2.4106,                0.57959,                   0.55,                0.57424,                0.30541,                    nan,                    nan,                    nan,              0.0016575,              0.0016575,              0.0016575
                    175,                 1.7921,                 1.4998,                 2.4661,                0.57959,                   0.55,                0.57424,                0.30541,                    nan,                    nan,                    nan,              0.0016555,              0.0016555,              0.0016555
                    176,                 1.8209,                 1.6528,                 2.4625,                0.67276,                0.56553,                0.55721,                0.28891,                    nan,                    nan,                    nan,              0.0016535,              0.0016535,              0.0016535
                    177,                 1.6777,                 1.5999,                 2.4207,                0.67276,                0.56553,                0.55721,                0.28891,                    nan,                    nan,                    nan,              0.0016515,              0.0016515,              0.0016515
                    178,                 1.8913,                 1.7954,                 2.5759,                0.67256,                0.66767,                0.69914,                0.39048,                    nan,                    nan,                    nan,              0.0016495,              0.0016495,              0.0016495
                    179,                 1.9009,                 1.7938,                 2.5013,                0.67256,                0.66767,                0.69914,                0.39048,                    nan,                    nan,                    nan,              0.0016476,              0.0016476,              0.0016476
                    180,                 1.6791,                 1.7043,                 2.4267,                0.68643,                    0.8,                0.74871,                0.41943,                    nan,                    nan,                    nan,              0.0016456,              0.0016456,              0.0016456
                    181,                 1.8595,                 2.0926,                 2.5971,                0.68643,                    0.8,                0.74871,                0.41943,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                    182,                 1.7541,                 1.8097,                 2.3828,                 0.6633,                  0.825,                0.72914,                0.39087,                    nan,                    nan,                    nan,              0.0016416,              0.0016416,              0.0016416
                    183,                 1.8471,                 1.7044,                 2.5503,                 0.6633,                  0.825,                0.72914,                0.39087,                    nan,                    nan,                    nan,              0.0016396,              0.0016396,              0.0016396
                    184,                 1.7997,                 1.7386,                 2.4796,                0.59665,                0.81371,                0.75284,                0.44456,                    nan,                    nan,                    nan,              0.0016377,              0.0016377,              0.0016377
                    185,                 1.8024,                 1.7393,                 2.4643,                0.59665,                0.81371,                0.75284,                0.44456,                    nan,                    nan,                    nan,              0.0016357,              0.0016357,              0.0016357
                    186,                 1.6609,                 1.5344,                 2.3701,                0.83995,                  0.625,                 0.7883,                0.49094,                    nan,                    nan,                    nan,              0.0016337,              0.0016337,              0.0016337
                    187,                 1.6669,                 1.4581,                 2.2818,                0.83995,                  0.625,                 0.7883,                0.49094,                    nan,                    nan,                    nan,              0.0016317,              0.0016317,              0.0016317
                    188,                 1.8059,                 1.7336,                  2.424,                0.74324,                 0.7237,                0.77278,                0.43158,                    nan,                    nan,                    nan,              0.0016297,              0.0016297,              0.0016297
                    189,                 1.6709,                 1.5855,                 2.2846,                0.74324,                 0.7237,                0.77278,                0.43158,                    nan,                    nan,                    nan,              0.0016278,              0.0016278,              0.0016278
                    190,                 1.5976,                  1.477,                 2.3167,                0.75175,                0.75719,                0.74738,                0.39995,                    nan,                    nan,                    nan,              0.0016258,              0.0016258,              0.0016258
                    191,                 1.8159,                 1.5815,                 2.3826,                0.75175,                0.75719,                0.74738,                0.39995,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                    192,                 1.7276,                 1.5325,                 2.3378,                 0.6724,                   0.75,                0.68172,                0.31099,                    nan,                    nan,                    nan,              0.0016218,              0.0016218,              0.0016218
                    193,                  1.589,                 1.6625,                 2.3549,                 0.6724,                   0.75,                0.68172,                0.31099,                    nan,                    nan,                    nan,              0.0016198,              0.0016198,              0.0016198
                    194,                 1.6769,                 1.6688,                  2.373,                0.61975,                   0.55,                0.57523,                0.24961,                    nan,                    nan,                    nan,              0.0016179,              0.0016179,              0.0016179
                    195,                 1.6808,                 1.6415,                 2.3817,                0.61975,                   0.55,                0.57523,                0.24961,                    nan,                    nan,                    nan,              0.0016159,              0.0016159,              0.0016159
                    196,                 1.7019,                 1.5859,                 2.4159,                0.52793,                  0.525,                0.53292,                0.25196,                    nan,                    nan,                    nan,              0.0016139,              0.0016139,              0.0016139
                    197,                 1.6964,                 1.6287,                 2.3392,                0.52793,                  0.525,                0.53292,                0.25196,                    nan,                    nan,                    nan,              0.0016119,              0.0016119,              0.0016119
                    198,                 1.5909,                 1.5159,                 2.2762,                0.51963,                0.51397,                0.55364,                0.30044,                    nan,                    nan,                    nan,              0.0016099,              0.0016099,              0.0016099
                    199,                  1.603,                 1.5221,                 2.2868,                0.51963,                0.51397,                0.55364,                0.30044,                    nan,                    nan,                    nan,               0.001608,               0.001608,               0.001608
                    200,                 1.7511,                  1.499,                 2.3858,                0.65589,                  0.625,                0.64325,                0.35879,                    nan,                    nan,                    nan,               0.001606,               0.001606,               0.001606
                    201,                 1.5821,                 1.5186,                 2.2416,                0.65589,                  0.625,                0.64325,                0.35879,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                    202,                 1.7034,                 1.4226,                 2.3771,                0.73822,                0.70511,                0.73586,                0.44144,                    nan,                    nan,                    nan,               0.001602,               0.001602,               0.001602
                    203,                 1.4992,                 1.3747,                 2.2883,                0.73822,                0.70511,                0.73586,                0.44144,                    nan,                    nan,                    nan,                 0.0016,                 0.0016,                 0.0016
                    204,                 1.5464,                 1.3997,                 2.3072,                0.79456,                  0.775,                0.80018,                 0.5182,                    nan,                    nan,                    nan,              0.0015981,              0.0015981,              0.0015981
                    205,                 1.6174,                 1.4241,                 2.2043,                0.79456,                  0.775,                0.80018,                 0.5182,                    nan,                    nan,                    nan,              0.0015961,              0.0015961,              0.0015961
                    206,                 1.6617,                 1.5017,                 2.2907,                0.78547,                0.73241,                0.79915,                0.50394,                    nan,                    nan,                    nan,              0.0015941,              0.0015941,              0.0015941
                    207,                 1.5282,                 1.4558,                 2.2432,                0.78547,                0.73241,                0.79915,                0.50394,                    nan,                    nan,                    nan,              0.0015921,              0.0015921,              0.0015921
                    208,                 1.5206,                 1.4542,                 2.2393,                0.70243,                    0.8,                0.75745,                0.36427,                    nan,                    nan,                    nan,              0.0015901,              0.0015901,              0.0015901
                    209,                 1.6312,                 1.4726,                 2.3518,                0.70243,                    0.8,                0.75745,                0.36427,                    nan,                    nan,                    nan,              0.0015882,              0.0015882,              0.0015882
                    210,                 1.5919,                 1.4041,                  2.332,                0.71589,                0.75602,                0.75655,                0.38667,                    nan,                    nan,                    nan,              0.0015862,              0.0015862,              0.0015862
                    211,                  1.756,                 1.4752,                 2.4016,                0.71589,                0.75602,                0.75655,                0.38667,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                    212,                 1.5461,                 1.3837,                 2.2323,                0.72039,                0.77297,                0.81241,                0.48968,                    nan,                    nan,                    nan,              0.0015822,              0.0015822,              0.0015822
                    213,                 1.6808,                 1.5142,                 2.3011,                0.72039,                0.77297,                0.81241,                0.48968,                    nan,                    nan,                    nan,              0.0015802,              0.0015802,              0.0015802
                    214,                 1.5023,                 1.5421,                 2.1605,                0.82569,                0.71071,                0.82777,                0.52948,                    nan,                    nan,                    nan,              0.0015783,              0.0015783,              0.0015783
                    215,                 1.5482,                  1.476,                 2.2273,                0.82569,                0.71071,                0.82777,                0.52948,                    nan,                    nan,                    nan,              0.0015763,              0.0015763,              0.0015763
                    216,                 1.7008,                 1.5207,                 2.2633,                 0.7317,                  0.775,                0.78919,                0.48534,                    nan,                    nan,                    nan,              0.0015743,              0.0015743,              0.0015743
                    217,                 1.6001,                 1.4828,                 2.2387,                 0.7317,                  0.775,                0.78919,                0.48534,                    nan,                    nan,                    nan,              0.0015723,              0.0015723,              0.0015723
                    218,                 1.3948,                  1.292,                 2.1219,                0.78054,                  0.625,                0.74572,                0.34259,                    nan,                    nan,                    nan,              0.0015703,              0.0015703,              0.0015703
                    219,                 1.6064,                 1.4182,                 2.2606,                0.78054,                  0.625,                0.74572,                0.34259,                    nan,                    nan,                    nan,              0.0015684,              0.0015684,              0.0015684
                    220,                 1.5732,                 1.5261,                 2.3444,                 0.7048,                  0.625,                0.72743,                0.36918,                    nan,                    nan,                    nan,              0.0015664,              0.0015664,              0.0015664
                    221,                 1.5295,                 1.3359,                  2.211,                 0.7048,                  0.625,                0.72743,                0.36918,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                    222,                 1.4387,                 1.3179,                 2.1537,                0.48063,                0.69413,                0.56885,                0.29066,                    nan,                    nan,                    nan,              0.0015624,              0.0015624,              0.0015624
                    223,                 1.4506,                 1.4189,                  2.157,                0.48063,                0.69413,                0.56885,                0.29066,                    nan,                    nan,                    nan,              0.0015604,              0.0015604,              0.0015604
                    224,                 1.5619,                 1.5104,                 2.2227,                0.25381,                  0.425,                0.19919,                0.06619,                    nan,                    nan,                    nan,              0.0015585,              0.0015585,              0.0015585
                    225,                 1.5561,                 1.4258,                 2.2074,                0.25381,                  0.425,                0.19919,                0.06619,                    nan,                    nan,                    nan,              0.0015565,              0.0015565,              0.0015565
                    226,                 1.4465,                 1.3203,                 2.1024,                0.38398,                  0.375,                0.30129,                0.11283,                    nan,                    nan,                    nan,              0.0015545,              0.0015545,              0.0015545
                    227,                 1.6629,                 1.5673,                 2.2445,                0.38398,                  0.375,                0.30129,                0.11283,                    nan,                    nan,                    nan,              0.0015525,              0.0015525,              0.0015525
                    228,                 1.6451,                 1.3808,                 2.2215,                 0.6448,                0.59015,                0.66695,                0.44387,                    nan,                    nan,                    nan,              0.0015505,              0.0015505,              0.0015505
                    229,                 1.4612,                 1.3765,                 2.1505,                 0.6448,                0.59015,                0.66695,                0.44387,                    nan,                    nan,                    nan,              0.0015486,              0.0015486,              0.0015486
                    230,                  1.617,                  1.513,                 2.1465,                0.76523,                0.81504,                0.80372,                 0.4591,                    nan,                    nan,                    nan,              0.0015466,              0.0015466,              0.0015466
                    231,                  1.436,                 1.3116,                 2.1171,                0.76523,                0.81504,                0.80372,                 0.4591,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                    232,                 1.4419,                 1.2849,                 2.0681,                0.93931,                0.77391,                0.88042,                0.51644,                    nan,                    nan,                    nan,              0.0015426,              0.0015426,              0.0015426
                    233,                 1.4418,                 1.3449,                  2.164,                0.93931,                0.77391,                0.88042,                0.51644,                    nan,                    nan,                    nan,              0.0015406,              0.0015406,              0.0015406
                    234,                 1.5992,                 1.3629,                 2.2386,                0.91213,                  0.825,                0.90182,                0.61394,                    nan,                    nan,                    nan,              0.0015387,              0.0015387,              0.0015387
                    235,                 1.4426,                 1.2309,                 2.1388,                0.91213,                  0.825,                0.90182,                0.61394,                    nan,                    nan,                    nan,              0.0015367,              0.0015367,              0.0015367
                    236,                 1.5064,                 1.3106,                 2.0289,                0.82436,                0.82146,                0.85413,                0.59102,                    nan,                    nan,                    nan,              0.0015347,              0.0015347,              0.0015347
                    237,                 1.5469,                 1.2943,                  2.119,                0.82436,                0.82146,                0.85413,                0.59102,                    nan,                    nan,                    nan,              0.0015327,              0.0015327,              0.0015327
                    238,                 1.4422,                 1.2493,                 2.0873,                0.96725,                0.73861,                0.84663,                  0.569,                    nan,                    nan,                    nan,              0.0015307,              0.0015307,              0.0015307
                    239,                 1.3878,                 1.1856,                 2.0857,                0.96725,                0.73861,                0.84663,                  0.569,                    nan,                    nan,                    nan,              0.0015288,              0.0015288,              0.0015288
                    240,                 1.4967,                 1.3189,                 2.0806,                 0.9135,                  0.725,                0.85695,                0.52508,                    nan,                    nan,                    nan,              0.0015268,              0.0015268,              0.0015268
                    241,                 1.5494,                 1.4036,                 2.1674,                 0.9135,                  0.725,                0.85695,                0.52508,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                    242,                 1.4636,                 1.2739,                 2.1434,                0.82142,                0.80504,                 0.8593,                0.56029,                    nan,                    nan,                    nan,              0.0015228,              0.0015228,              0.0015228
                    243,                 1.4607,                 1.3119,                 2.1241,                0.82142,                0.80504,                 0.8593,                0.56029,                    nan,                    nan,                    nan,              0.0015208,              0.0015208,              0.0015208
                    244,                 1.5225,                 1.3304,                 2.2216,                0.93244,                0.69028,                0.86937,                0.61276,                    nan,                    nan,                    nan,              0.0015189,              0.0015189,              0.0015189
                    245,                 1.4138,                  1.209,                 2.0131,                0.93244,                0.69028,                0.86937,                0.61276,                    nan,                    nan,                    nan,              0.0015169,              0.0015169,              0.0015169
                    246,                 1.4033,                 1.2595,                 2.0739,                0.99702,                   0.75,                0.89952,                0.57584,                    nan,                    nan,                    nan,              0.0015149,              0.0015149,              0.0015149
                    247,                 1.6631,                 1.3276,                 2.1969,                0.99702,                   0.75,                0.89952,                0.57584,                    nan,                    nan,                    nan,              0.0015129,              0.0015129,              0.0015129
                    248,                 1.5741,                 1.3842,                 2.2182,                0.94055,                0.79126,                0.88506,                0.61371,                    nan,                    nan,                    nan,              0.0015109,              0.0015109,              0.0015109
                    249,                 1.4293,                 1.3011,                 2.0878,                0.94055,                0.79126,                0.88506,                0.61371,                    nan,                    nan,                    nan,               0.001509,               0.001509,               0.001509
                    250,                 1.6248,                 1.3636,                 2.1265,                0.87386,                  0.725,                 0.8597,                0.62005,                    nan,                    nan,                    nan,               0.001507,               0.001507,               0.001507
                    251,                 1.4256,                 1.2233,                 2.0431,                0.87386,                  0.725,                 0.8597,                0.62005,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                    252,                 1.3628,                 1.1603,                 2.0069,                0.89209,                   0.75,                0.87577,                0.58592,                    nan,                    nan,                    nan,               0.001503,               0.001503,               0.001503
                    253,                 1.4706,                 1.3518,                 2.0467,                0.89209,                   0.75,                0.87577,                0.58592,                    nan,                    nan,                    nan,               0.001501,               0.001501,               0.001501
                    254,                 1.4773,                 1.3089,                 2.1144,                0.88968,                  0.675,                0.85553,                0.55801,                    nan,                    nan,                    nan,              0.0014991,              0.0014991,              0.0014991
                    255,                 1.2312,                 1.1161,                 1.9864,                0.88968,                  0.675,                0.85553,                0.55801,                    nan,                    nan,                    nan,              0.0014971,              0.0014971,              0.0014971
                    256,                 1.4728,                 1.2091,                 2.0387,                 0.8249,                  0.775,                0.86363,                0.55964,                    nan,                    nan,                    nan,              0.0014951,              0.0014951,              0.0014951
                    257,                 1.5458,                 1.3975,                 2.1855,                 0.8249,                  0.775,                0.86363,                0.55964,                    nan,                    nan,                    nan,              0.0014931,              0.0014931,              0.0014931
                    258,                  1.297,                 1.1293,                 1.9677,                0.81981,                   0.85,                0.86992,                0.58124,                    nan,                    nan,                    nan,              0.0014911,              0.0014911,              0.0014911
                    259,                 1.3931,                  1.203,                 2.0464,                0.81981,                   0.85,                0.86992,                0.58124,                    nan,                    nan,                    nan,              0.0014892,              0.0014892,              0.0014892
                    260,                 1.4383,                 1.2803,                 2.0573,                0.82813,                  0.875,                0.88814,                0.55209,                    nan,                    nan,                    nan,              0.0014872,              0.0014872,              0.0014872
                    261,                 1.2832,                 1.1684,                 1.9538,                0.82813,                  0.875,                0.88814,                0.55209,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                    262,                 1.4751,                 1.2386,                 2.0876,                0.78327,                  0.725,                0.80742,                0.45743,                    nan,                    nan,                    nan,              0.0014832,              0.0014832,              0.0014832
                    263,                 1.5178,                 1.3542,                 2.1295,                0.78327,                  0.725,                0.80742,                0.45743,                    nan,                    nan,                    nan,              0.0014812,              0.0014812,              0.0014812
                    264,                 1.3609,                 1.1698,                 1.9905,                0.82114,                    0.8,                 0.8055,                0.46749,                    nan,                    nan,                    nan,              0.0014793,              0.0014793,              0.0014793
                    265,                 1.3767,                  1.248,                 1.9937,                0.82114,                    0.8,                 0.8055,                0.46749,                    nan,                    nan,                    nan,              0.0014773,              0.0014773,              0.0014773
                    266,                 1.4735,                  1.345,                 2.1342,                0.60549,                    0.7,                0.58603,                0.31676,                    nan,                    nan,                    nan,              0.0014753,              0.0014753,              0.0014753
                    267,                 1.3472,                 1.1524,                 1.9232,                0.60549,                    0.7,                0.58603,                0.31676,                    nan,                    nan,                    nan,              0.0014733,              0.0014733,              0.0014733
                    268,                 1.3737,                 1.2442,                 2.0398,                0.55103,                    0.6,                0.58719,                0.31972,                    nan,                    nan,                    nan,              0.0014713,              0.0014713,              0.0014713
                    269,                 1.4674,                 1.2723,                 2.0274,                0.55103,                    0.6,                0.58719,                0.31972,                    nan,                    nan,                    nan,              0.0014694,              0.0014694,              0.0014694
                    270,                 1.4692,                 1.2447,                 2.0273,                0.76873,                0.74794,                0.80151,                0.48497,                    nan,                    nan,                    nan,              0.0014674,              0.0014674,              0.0014674
                    271,                 1.4986,                 1.2035,                 2.0605,                0.76873,                0.74794,                0.80151,                0.48497,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                    272,                 1.3684,                  1.104,                 1.9283,                0.87578,                   0.75,                0.85558,                0.46118,                    nan,                    nan,                    nan,              0.0014634,              0.0014634,              0.0014634
                    273,                 1.2805,                 1.1116,                 1.9501,                0.87578,                   0.75,                0.85558,                0.46118,                    nan,                    nan,                    nan,              0.0014614,              0.0014614,              0.0014614
                    274,                 1.3517,                 1.1669,                 1.9845,                0.94028,                  0.825,                0.89554,                0.51767,                    nan,                    nan,                    nan,              0.0014595,              0.0014595,              0.0014595
                    275,                 1.3827,                 1.1675,                 1.9694,                0.94028,                  0.825,                0.89554,                0.51767,                    nan,                    nan,                    nan,              0.0014575,              0.0014575,              0.0014575
                    276,                 1.3394,                 1.0867,                 1.9658,                0.92761,                    0.8,                0.90493,                0.65849,                    nan,                    nan,                    nan,              0.0014555,              0.0014555,              0.0014555
                    277,                 1.2932,                 1.2234,                 1.9451,                0.92761,                    0.8,                0.90493,                0.65849,                    nan,                    nan,                    nan,              0.0014535,              0.0014535,              0.0014535
                    278,                 1.1693,                0.95175,                 1.8446,                0.85911,                   0.85,                0.91134,                0.66969,                    nan,                    nan,                    nan,              0.0014515,              0.0014515,              0.0014515
                    279,                 1.2462,                 1.0799,                 1.8037,                0.85911,                   0.85,                0.91134,                0.66969,                    nan,                    nan,                    nan,              0.0014496,              0.0014496,              0.0014496
                    280,                 1.2961,                  1.154,                 1.9885,                0.94079,                0.79459,                0.89418,                0.68421,                    nan,                    nan,                    nan,              0.0014476,              0.0014476,              0.0014476
                    281,                 1.2043,                 1.1102,                 1.8711,                0.94079,                0.79459,                0.89418,                0.68421,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                    282,                 1.3227,                 1.1418,                 1.9568,                0.87862,                  0.775,                0.87392,                0.62678,                    nan,                    nan,                    nan,              0.0014436,              0.0014436,              0.0014436
                    283,                 1.2559,                 1.0944,                 1.9616,                0.87862,                  0.775,                0.87392,                0.62678,                    nan,                    nan,                    nan,              0.0014416,              0.0014416,              0.0014416
                    284,                 1.3256,                 1.2058,                 1.9911,                0.79583,                   0.85,                0.86981,                0.59141,                    nan,                    nan,                    nan,              0.0014397,              0.0014397,              0.0014397
                    285,                 1.3128,                 1.1185,                 1.9166,                0.79583,                   0.85,                0.86981,                0.59141,                    nan,                    nan,                    nan,              0.0014377,              0.0014377,              0.0014377
                    286,                 1.3552,                 1.1023,                  1.937,                0.92327,                   0.75,                0.89271,                0.66064,                    nan,                    nan,                    nan,              0.0014357,              0.0014357,              0.0014357
                    287,                 1.1462,                 1.1384,                  1.785,                0.92327,                   0.75,                0.89271,                0.66064,                    nan,                    nan,                    nan,              0.0014337,              0.0014337,              0.0014337
                    288,                 1.3798,                 1.2067,                 1.9773,                0.91948,                0.85656,                0.90878,                0.66276,                    nan,                    nan,                    nan,              0.0014317,              0.0014317,              0.0014317
                    289,                 1.2568,                 1.0344,                  1.865,                0.91948,                0.85656,                0.90878,                0.66276,                    nan,                    nan,                    nan,              0.0014298,              0.0014298,              0.0014298
                    290,                 1.3034,                 1.0837,                 1.9335,                0.82905,                0.84874,                0.88639,                0.56767,                    nan,                    nan,                    nan,              0.0014278,              0.0014278,              0.0014278
                    291,                 1.3232,                 1.1253,                 1.9866,                0.82905,                0.84874,                0.88639,                0.56767,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                    292,                 1.1892,                   1.02,                 1.8046,                0.72897,                  0.775,                0.79976,                0.45184,                    nan,                    nan,                    nan,              0.0014238,              0.0014238,              0.0014238
                    293,                 1.3081,                 1.1501,                 1.8913,                0.72897,                  0.775,                0.79976,                0.45184,                    nan,                    nan,                    nan,              0.0014218,              0.0014218,              0.0014218
                    294,                 1.5203,                  1.258,                 2.1104,                0.70513,                  0.725,                0.71698,                0.42536,                    nan,                    nan,                    nan,              0.0014199,              0.0014199,              0.0014199
                    295,                 1.3068,                 1.1135,                 1.8527,                0.70513,                  0.725,                0.71698,                0.42536,                    nan,                    nan,                    nan,              0.0014179,              0.0014179,              0.0014179
                    296,                 1.2538,                 1.0569,                 1.8756,                0.81497,                0.66086,                0.78733,                0.49062,                    nan,                    nan,                    nan,              0.0014159,              0.0014159,              0.0014159
                    297,                  1.243,                 1.0674,                 1.8359,                0.81497,                0.66086,                0.78733,                0.49062,                    nan,                    nan,                    nan,              0.0014139,              0.0014139,              0.0014139
                    298,                 1.2862,                 1.1094,                 1.9128,                0.79197,                  0.875,                0.86361,                0.61121,                    nan,                    nan,                    nan,              0.0014119,              0.0014119,              0.0014119
                    299,                 1.1965,                 1.0307,                 1.8232,                0.79197,                  0.875,                0.86361,                0.61121,                    nan,                    nan,                    nan,                0.00141,                0.00141,                0.00141
                    300,                 1.2619,                 1.0489,                 1.8945,                0.82038,                  0.875,                  0.889,                0.64775,                    nan,                    nan,                    nan,               0.001408,               0.001408,               0.001408
                    301,                 1.2576,                  1.006,                 1.8494,                0.82038,                  0.875,                  0.889,                0.64775,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                    302,                 1.1418,                 1.0403,                 1.7599,                 0.8947,                0.84969,                0.91287,                0.63081,                    nan,                    nan,                    nan,               0.001404,               0.001404,               0.001404
                    303,                 1.4067,                 1.0984,                 1.9446,                 0.8947,                0.84969,                0.91287,                0.63081,                    nan,                    nan,                    nan,               0.001402,               0.001402,               0.001402
                    304,                  1.254,                 1.0268,                 1.8328,                0.89066,                    0.9,                0.92548,                0.61243,                    nan,                    nan,                    nan,              0.0014001,              0.0014001,              0.0014001
                    305,                 1.3399,                 1.1224,                 1.9326,                0.89066,                    0.9,                0.92548,                0.61243,                    nan,                    nan,                    nan,              0.0013981,              0.0013981,              0.0013981
                    306,                 1.1806,                0.98529,                 1.8024,                0.88022,                    0.9,                0.92707,                0.61043,                    nan,                    nan,                    nan,              0.0013961,              0.0013961,              0.0013961
                    307,                 1.2023,                0.95505,                 1.8521,                0.88022,                    0.9,                0.92707,                0.61043,                    nan,                    nan,                    nan,              0.0013941,              0.0013941,              0.0013941
                    308,                 1.0993,                0.93026,                 1.6962,                0.76262,                0.88361,                0.87723,                0.63323,                    nan,                    nan,                    nan,              0.0013921,              0.0013921,              0.0013921
                    309,                 1.1488,                0.94859,                 1.7955,                0.76262,                0.88361,                0.87723,                0.63323,                    nan,                    nan,                    nan,              0.0013902,              0.0013902,              0.0013902
                    310,                 1.2287,                 1.0115,                 1.8078,                0.78436,                   0.85,                0.80163,                0.55578,                    nan,                    nan,                    nan,              0.0013882,              0.0013882,              0.0013882
                    311,                  1.237,                0.96772,                 1.8057,                0.78436,                   0.85,                0.80163,                0.55578,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                    312,                 1.2094,                 1.0306,                 1.7597,                 0.9512,                    0.9,                0.94176,                0.67557,                    nan,                    nan,                    nan,              0.0013842,              0.0013842,              0.0013842
                    313,                 1.2335,                0.98309,                  1.804,                 0.9512,                    0.9,                0.94176,                0.67557,                    nan,                    nan,                    nan,              0.0013822,              0.0013822,              0.0013822
                    314,                 1.3059,                 1.0012,                 1.8947,                0.97286,                0.89608,                0.93359,                0.68305,                    nan,                    nan,                    nan,              0.0013803,              0.0013803,              0.0013803
                    315,                 1.0024,                0.93857,                 1.6833,                0.97286,                0.89608,                0.93359,                0.68305,                    nan,                    nan,                    nan,              0.0013783,              0.0013783,              0.0013783
                    316,                 1.2013,                0.92712,                 1.8022,                      1,                0.86655,                0.93528,                0.69946,                    nan,                    nan,                    nan,              0.0013763,              0.0013763,              0.0013763
                    317,                 1.3811,                 1.1641,                 1.8525,                      1,                0.86655,                0.93528,                0.69946,                    nan,                    nan,                    nan,              0.0013743,              0.0013743,              0.0013743
                    318,                 1.2126,                 1.0445,                 1.8272,                0.96614,                    0.9,                0.92866,                 0.7046,                    nan,                    nan,                    nan,              0.0013723,              0.0013723,              0.0013723
                    319,                 1.2283,                0.95429,                 1.8147,                0.96614,                    0.9,                0.92866,                 0.7046,                    nan,                    nan,                    nan,              0.0013704,              0.0013704,              0.0013704
                    320,                 1.1388,                0.88706,                 1.6878,                0.96006,                  0.825,                0.90251,                0.66914,                    nan,                    nan,                    nan,              0.0013684,              0.0013684,              0.0013684
